hashtag,text,favorite_count
#KukiMilitant,@ukhrultimes Soo with #kukimilitant must be abrogated to  end the atrocities,0
#KukiMilitant,@KapthangHaokip @manipur_police @HMOIndia @PIBHomeAffairs @10hagHaokip @AriesHaoneoKuki @KukiMinjoy @lunginhao @ThangminlunHk #kukimilitant on 3rd may https://t.co/tbrINvJjp1,0
#KukiMilitant,"Examine the #Kukis engaging in the burning of #Meitei villages, finding pleasure in their actions. If the Suspension of Operations agreement remains in place, what implications might it hold for the future of #Manipur? #AbrogateSoO #KukiMIlitant #kukiterrorists #ManipurViolence https://t.co/WyebEZURGN",184
#KukiMilitant,"Examine the #Kukis engaging in the burning of #Meitei villages, finding pleasure in their actions. If the Suspension of Operations agreement remains in place, what implications might it hold for the future of #Manipur? #AbrogateSoO #KukiMIlitant #kukiterrorists #ManipurViolence https://t.co/PLl5JFv5hz",281
#KukiMilitant,"#KukiMilitant 
#KukiZoDrugCommunity",0
#KukiMilitant,"@Meitei_Lazarus4 @AmitShah @narendramodi @UNGeneva @UNOSAPG @Maheshwarthouna @Hindus_Unity_ @UNICEFIndia @MumbaichaDon @BalshaliBharat @HinduAmerican #KukiMilitant
#AbrogateSoO 
#AbrogateSoO_with_kuki_militants
#Kuki_ZoEngineeredViolence 

@NBirenSingh
@PMOIndia @HMOIndia

#SaveMeiteis 
#SaveManipur",5
#KukiMilitant,"@kamkeidungsuun @SCofIndia Abey oie, He is exhausted because #KukiMilitant keeps attacking the #Meitei villages N acting innocent after killing people. 

#KukiMilitant end will come soon. Don't apply poppy logic here. AFSPA is not functioning  in hills, so it won't in the valley too. #Art356 will not come",1
#KukiMilitant,@SarjuLongjam #AbrogateSoO with #KukiMilitant,0
#SaveManipur,"Daily life in Mizoram !
@ramindesai @VladAdiReturns #NarcoTerrorism #Manipur #KukiTerrorists #SaveManipur #Meiteis #Noseparateadministration #ManipurViolence @narendramodi #ModiHaiToMumkinHai @PMOIndia @HMOIndia @AmitShah @NBirenSingh @TOIIndiaNews @ANI @ndtv #Manipur https://t.co/9XoX0mvs2F",36
#SaveManipur,"Barbaric #Kukis lack culture &amp; respect for other communities, acting solely in self-interest with malicious intent. Their destruction knows no bounds, they have desecrated sacred sites like the 200-year-old Shiv Mandir and #Meiteis Ebudhou Thangjing Hill. #SaveManipur @AmitShah https://t.co/UphFnBkrkY",88
#SaveManipur,"@prodefkohima @mirabai_chanu @adgpi @SpokespersonMoD @easterncomd Such a lovely gesture from the Indian Army 🙏 jai hind , @mirabai_chanu  Make  INDIA proud again 👍🙏 #ThisIsOurStory 
#SaveMeiteis 
#SaveManipur",0
#SaveManipur,"Is Mizoram unwittingly aiding China's efforts to destabilize India? 
Despite being aware of the drug and illegal immigrant issues, why does Mizoram oppose border fencing and the removal of FMR?
@ramindesai @VladAdiReturns #NarcoTerrorism #Manipur #KukiTerrorists #SaveManipur https://t.co/WpUhLAnsxT",65
#SaveManipur,@thoichang It's tears full. Many of our temples and heritage sites were also destroyed by those millitants. #SaveManipur,0
#SaveManipur,"@im_Melo0 @manipur_police @adgpi @PTI_News @manipurmygov @IaSouthern @IndiannavyMedia @ndtvindia @PIB_India @TheNewIndian_in @IndiaTodayNE @MOMAIndia @AmitShahOffice
@manipur_police
GoI &amp; GoM,
Two Meitei Pangal (Meitei Muslims) were beaten up mercilessly by Chin #KUKITERRORISTS frm Myanmar &amp; their allies at Moreh. They drive truck to deliver goods fr their livelihood. They delivered Sand, NOT #DRUGS.🤷‍♀️
#SaveManipur",3
#SaveManipur,"Daily life in Mizoram !
@ramindesai @VladAdiReturns #NarcoTerrorism #Manipur #KukiTerrorists #SaveManipur #Meiteis #Noseparateadministration #ManipurViolence @narendramodi #ModiHaiToMumkinHai @PMOIndia @HMOIndia @AmitShah @NBirenSingh @TOIIndiaNews @ANI @ndtv #Manipur https://t.co/9XoX0mvs2F",36
#SaveManipur,"Barbaric #Kukis lack culture &amp; respect for other communities, acting solely in self-interest with malicious intent. Their destruction knows no bounds, they have desecrated sacred sites like the 200-year-old Shiv Mandir and #Meiteis Ebudhou Thangjing Hill. #SaveManipur @AmitShah https://t.co/UphFnBkrkY",88
#SaveManipur,"@prodefkohima @mirabai_chanu @adgpi @SpokespersonMoD @easterncomd Such a lovely gesture from the Indian Army 🙏 jai hind , @mirabai_chanu  Make  INDIA proud again 👍🙏 #ThisIsOurStory 
#SaveMeiteis 
#SaveManipur",0
#SaveManipur,"Is Mizoram unwittingly aiding China's efforts to destabilize India? 
Despite being aware of the drug and illegal immigrant issues, why does Mizoram oppose border fencing and the removal of FMR?
@ramindesai @VladAdiReturns #NarcoTerrorism #Manipur #KukiTerrorists #SaveManipur https://t.co/WpUhLAnsxT",65
#SaveManipur,@thoichang It's tears full. Many of our temples and heritage sites were also destroyed by those millitants. #SaveManipur,0
#SaveManipur,"@im_Melo0 @manipur_police @adgpi @PTI_News @manipurmygov @IaSouthern @IndiannavyMedia @ndtvindia @PIB_India @TheNewIndian_in @IndiaTodayNE @MOMAIndia @AmitShahOffice
@manipur_police
GoI &amp; GoM,
Two Meitei Pangal (Meitei Muslims) were beaten up mercilessly by Chin #KUKITERRORISTS frm Myanmar &amp; their allies at Moreh. They drive truck to deliver goods fr their livelihood. They delivered Sand, NOT #DRUGS.🤷‍♀️
#SaveManipur",3
#Savemeiteis,"@prodefkohima @mirabai_chanu @adgpi @SpokespersonMoD @easterncomd Such a lovely gesture from the Indian Army 🙏 jai hind , @mirabai_chanu  Make  INDIA proud again 👍🙏 #ThisIsOurStory 
#SaveMeiteis 
#SaveManipur",0
#Savemeiteis,"@beethangjam @PMOIndia @HMOIndia #AbrogateSoO 
#SaveMeiteis &amp;
#Manipur",0
#Savemeiteis,"@beethangjam @PMOIndia @HMOIndia #AbrogateSoO to
#SaveMeiteis &amp;
#Manipur from
#KukiWarCrimes https://t.co/0SIQH1dnxa",2
#Savemeiteis,"@beethangjam @PMOIndia @HMOIndia #AbrogateSoO to
#SaveMeiteis &amp;
#Manipur from
#KukiWarCrimes",0
#Savemeiteis,"@prodefkohima @mirabai_chanu @adgpi @SpokespersonMoD @easterncomd Such a lovely gesture from the Indian Army 🙏 jai hind , @mirabai_chanu  Make  INDIA proud again 👍🙏 #ThisIsOurStory 
#SaveMeiteis 
#SaveManipur",0
#Savemeiteis,"@beethangjam @PMOIndia @HMOIndia #AbrogateSoO 
#SaveMeiteis &amp;
#Manipur",0
#Savemeiteis,"@beethangjam @PMOIndia @HMOIndia #AbrogateSoO to
#SaveMeiteis &amp;
#Manipur from
#KukiWarCrimes https://t.co/0SIQH1dnxa",2
#Savemeiteis,"@beethangjam @PMOIndia @HMOIndia #AbrogateSoO to
#SaveMeiteis &amp;
#Manipur from
#KukiWarCrimes",0
#Ethniccleansing,"Anti Israeli Govt's indiscriminate slaughter of civilians, forced mass starvation, destruction of civilian infrastructure (inc hospitals) &amp; places of worship, plus #WarCrimes #EthnicCleansing, I think you mean 👍
#CEASEFIRE_NOW #FreePalestine",1
#Ethniccleansing,#Gazagenocide #PalestinianGenocide #EthnicCleansing #WarCrimes,1
#Ethniccleansing,"Yet again #Jews show that the #Gazagenocide is not a religious issue. It's a question of if you have humanity, which a lot of idiots on here don't 😒

The #ethniccleansing of an indigenous people rightly leads to calls for a #ceasefire, yet some people want it to continue wtf",0
#Ethniccleansing,"👿 Biden was caught on camera saying, ""I told him, Bibi, and don't repeat this, but you and I are going to have a 'come to Jesus' meeting,"" during the State of the Union speech.

#Genocide | #WarCrimes | #EthnicCleansing | #CrimesAgainstHumanity https://t.co/nUg3b5lZwU",0
#Ethniccleansing,"Meet a Jewish rabbi!

#Genocide | #WarCrimes | #EthnicCleansing | #CrimesAgainstHumanity https://t.co/SloKU6e3oK",0
#Ethniccleansing,"@JanMcLachlan @SkyNews Old colonist? What a #racist thing to say about a #Jewish person! Arabs are the oppressive colonizers, the Jewish have always been in the region now called Israel, suffered full #EthnicCleansing in 1948 from JudeaSamaria so return in 1967 was legal, though disputed! #truthmatters",0
#Ethniccleansing,#Gazagenocide #PalestinianGenocide #EthnicCleansing #WarCrimes #CeasefireNOW,0
